category,subcategory,name,current_price,raw_price,discount,likes_count
beauty,Faux cils,Kit de recourbe-cils Perm,23.56,39.85,41,150
beauty,Sports Equipments,Fitness Buttocks Machine Corrects Buttocks Muscles Fitness Machine Exercise Pelvic Floor Muscles Beautiful Buttocks Clip Training Buttocks,19.99,39.99,50,64
beauty,Autres produits des soins personnels,Oxymètre de pouls portable à pince,39.99,79.99,50,113
beauty,Kit de l'art pour ongles,Set Nail Art,48.35,77.86,38,1186
beauty,Soins des pieds,Dispositif de correction Hallux Valgus en silicone,11.99,24.35,51,149
beauty,Fers à friser pour cheveux,Fer à friser professionnel,38.51,66.99,43,140
beauty,Kit de l'art pour ongles,Ensemble de machines de photothérapie,11.49,19.99,43,169
beauty,Épilateur,Épilateur laser permanent professionnel,79.99,141.98,44,53
beauty,Massage & Relaxation,Masseur relaxant musculaire ,97.74,159.37,39,121
beauty,Sports Equipments,Vélo électrique pliant,1899.99,3999.99,53,8
beauty,Vernis à ongles,Stylo vernis à ongles en gel,10.34,16.99,39,123
beauty,Épilateur,Ensemble de chauffe-cire électrique,64.99,129.99,50,80
beauty,Huile essentielle,Huile essentielle de chanvre pur ,13.79,23.99,43,53
beauty,Crayon à sourcils & Amplificateur,Kit de lifting des sourcils semi-pernament,22.99,0,0,36
beauty,Soins des pieds,Broyeur électrique de dossier de pied,27.99,59.99,53,74
beauty,Daily Necessities,20pcs / boîtes de papier portable pour le lavage des mains ,6.31,10.99,43,463
beauty,Tondeuse pour poils,Ensemble de tondeuse à cheveux électrique,63.24,109.99,43,14
beauty,Health Care,50 masques faciaux jetables,19.99,42.99,54,467
beauty,Massage & Relaxation,Massage cervical électrique à 15 vitesses,49.99,0,0,60
beauty,Health Care,10PCS 3 couches de masque facial de bactéries filtrantes non tissées,5.99,10.99,46,322
beauty,Sports Equipments,Barres d'acier horizontales de porte ,59.99,119.99,50,20
beauty,Tondeuse pour poils,Ensemble de coupe-cheveux multifonctionnel ,25.86,44.99,43,142
beauty,Vêtements minceur,Ceinture de correction du dos,17.81,29.8,40,90
beauty,Daily Necessities,Coussin hygiénique lavable ,7.46,12.99,43,49
beauty,Perruques synthétiques,Perruques bouclées longues de 28 pouces,41.99,82.99,49,32
beauty,Miroirs,Anneau lumineux de 10 pouces LED,21.99,42.99,49,38
beauty,Gloss à lèvres,Missyoung Gloss Mat Sexy Brillant à Lèvres Liquide,9.88,17.18,43,6962
beauty,Ciseaux & Cisailles de coiffure,Ensemble d'outils de coupe de cheveux,39.99,79.99,50,98
beauty,Daily Necessities,Lingettes humides Mini Barrels ,6.31,10.99,43,50
beauty,Sports Equipments,Protection du genou Booster ,51.74,179.99,71,97
beauty,Miroirs,Anneau lumineux USB,11.99,22,46,63
beauty,Daily Necessities,Lingettes humides à 70% d'alcool ,10.34,16.71,38,68
beauty,Kit de l'art pour ongles,220V 36W Nail Art Set UV Kit de bouts de lime à cuticules pour lampe gel,71.16,112.53,37,197
beauty,Accessoires soin visage,Machine professionnelle de masque facial de photon,95.99,0,0,24
beauty,Épilateur,Kit de cire pour épilation,44.99,89.99,50,15
beauty,Health Care,20pcs masques jetables ,27.59,58.21,53,1392
beauty,Kit de l'art pour ongles,Kit de gel d'extension d'ongle,40.99,81.98,50,16
beauty,Daily Necessities,Papier de savon pour les mains grenouille,10.34,16.71,38,158
beauty,Health Care,Masque facial transparent,7.46,12.99,43,308
beauty,Perruques synthétiques,Perruques droites courtes 10 pouces,40.99,80.99,49,25
beauty,Miroirs,10 pouces dimmable LED anneau lumineux,29.99,61.99,52,51
beauty,Tondeuse pour poils,LCD Tondeuse à cheveux avec affichage ,43.69,75.99,43,62
beauty,Vernis à ongles,4pcs gelée gel set,20.69,35.99,43,95
beauty,Vernis à ongles,Ensemble de colle de cristal,22.99,39.99,43,157
beauty,Daily Necessities,"Lingettes d'alcool de stérilisation à 99,9%",6.99,30.99,77,174
beauty,Épilateur,990000 Flash LCD Épilateur d'affichage,89.99,189.99,53,13
beauty,Machine à ongles,Perceuse à ongles électrique,21.99,45.98,52,21
beauty,Soins de bain,Brosse pour le corps en silicone,10.99,21.99,50,16
beauty,Daily Necessities,Stylo de désinfection de l'alcool d'ascenseur,7.46,12.99,43,45
beauty,Épilateur,100g de perles de cire à épiler,7.99,14.99,47,16
beauty,Fake Nails,Faux ongles Silver Flame,7.99,17.98,56,18
beauty,Kit de l'art pour ongles,Gel pailleté 30 ml ,32.19,59.99,46,72
beauty,Daily Necessities,"Tampons d'alcool bactériostatique à 99,9%",22.41,37.84,41,9
beauty,Daily Necessities,Papier Savon à Main Fleur ,5.16,7.49,31,158
beauty,Rouge à lèvres,Rouge à lèvres mat à deux têtes,10.34,16.71,38,124
beauty,Kit de l'art pour ongles,Kit de manucure pour lampe de photothérapie,40,159.98,75,16
beauty,Soins corps,Crème Liftante Gingembre Hanche,23.56,45.55,48,299
beauty,Machine à ongles,Tête de polissage multifonctionnelle,22.99,39.99,43,76
beauty,Daily Necessities,UV Pack de désinfection ,69.99,139.99,50,32
beauty,Faux cils,Kit de recourbe-cils Perm,23.56,39.85,41,150
beauty,Sports Equipments,Fitness Buttocks Machine Corrects Buttocks Muscles Fitness Machine Exercise Pelvic Floor Muscles Beautiful Buttocks Clip Training Buttocks,19.99,39.99,50,64
beauty,Autres produits des soins personnels,Oxymètre de pouls portable à pince,39.99,79.99,50,113
beauty,Kit de l'art pour ongles,Set Nail Art,48.35,77.86,38,1186
beauty,Soins des pieds,Dispositif de correction Hallux Valgus en silicone,11.99,24.35,51,149
